learning_rate,max_depth,n_estimators,score
0.001,5.0,431.0,0.6894927536231883
0.001,5.0,441.0,0.6894927536231883
0.001,5.0,451.0,0.6894927536231883
0.001,5.0,461.0,0.6894927536231883
0.001,5.0,471.0,0.6894927536231883
0.001,5.0,481.0,0.6894927536231883
0.001,5.0,491.0,0.6894927536231883
0.001,5.0,501.0,0.6894927536231883
0.001,5.0,511.0,0.6894927536231883
0.001,5.0,521.0,0.6978260869565217
0.001,5.0,531.0,0.6978260869565217
0.001,5.0,541.0,0.6978260869565217
0.001,5.0,551.0,0.6978260869565217
0.001,5.0,561.0,0.6894927536231883
0.001,5.0,571.0,0.6811594202898551
0.001,5.0,581.0,0.6728260869565217
0.001,5.0,591.0,0.6728260869565217
0.001,5.0,601.0,0.6728260869565217
0.001,5.0,611.0,0.6728260869565217
0.001,5.0,621.0,0.6728260869565217
0.001,5.0,631.0,0.6728260869565217
0.001,5.0,641.0,0.6728260869565217
0.001,5.0,651.0,0.6728260869565217
0.001,5.0,661.0,0.6728260869565217
0.001,5.0,671.0,0.6728260869565217
0.001,5.0,681.0,0.6728260869565217
0.001,5.0,691.0,0.6728260869565217
0.001,5.0,701.0,0.6978260869565217
0.001,5.0,711.0,0.6978260869565217
0.001,5.0,721.0,0.6978260869565217
0.001,5.0,731.0,0.6978260869565217
0.001,5.0,741.0,0.6978260869565217
0.001,5.0,751.0,0.6978260869565217
0.001,5.0,761.0,0.6978260869565217
0.001,5.0,771.0,0.6978260869565217
0.001,5.0,781.0,0.6978260869565217
0.001,5.0,791.0,0.6978260869565217
0.001,5.0,801.0,0.6978260869565217
0.001,5.0,811.0,0.6978260869565217
0.001,5.0,821.0,0.6978260869565217
0.001,5.0,831.0,0.6978260869565217
0.001,5.0,841.0,0.6978260869565217
0.001,5.0,851.0,0.6978260869565217
0.001,5.0,861.0,0.6978260869565217
0.001,5.0,871.0,0.7061594202898551
0.001,5.0,881.0,0.7061594202898551
0.001,5.0,891.0,0.7061594202898551
0.001,5.0,901.0,0.7061594202898551
0.001,5.0,911.0,0.7061594202898551
0.001,5.0,921.0,0.7061594202898551
0.001,5.0,931.0,0.6894927536231885
0.001,5.0,941.0,0.6894927536231885
0.001,5.0,951.0,0.6894927536231885
0.001,5.0,961.0,0.6894927536231885
